filename,class,bbox
img086351.png,smart_1,"[183, 311, 657, 415]"
img083734.png,smart_1,"[361, 352, 479, 716]"
img081317.png,smart_1,"[163, 16, 905, 785]"
img089140.png,smart_1,"[188, 427, 499, 573]"
img082379.png,smart_1,"[152, 462, 1024, 605]"
img089707.png,smart_1,"[590, 308, 666, 779]"
img080704.png,smart_1,"[328, 0, 549, 1024]"
img088364.png,smart_1,"[400, 554, 647, 770]"
img089629.png,smart_1,"[192, 693, 466, 802]"
img088990.png,smart_1,"[661, 289, 735, 639]"
img087083.png,smart_1,"[588, 184, 657, 495]"
img080647.png,smart_1,"[351, 0, 791, 1024]"
img089951.png,smart_1,"[63, 485, 676, 651]"
img084706.png,smart_1,"[285, 413, 699, 685]"
img086719.png,smart_1,"[394, 376, 597, 708]"
img080260.png,smart_1,"[364, 749, 1024, 1024]"
img084546.png,smart_1,"[345, 347, 846, 866]"
img084187.png,smart_1,"[245, 305, 883, 659]"
img081165.png,smart_1,"[0, 352, 1024, 629]"
img083103.png,smart_1,"[255, 85, 426, 1024]"
img084943.png,smart_1,"[386, 285, 600, 839]"
img080483.png,smart_1,"[549, 0, 974, 1024]"
img081117.png,smart_1,"[305, 0, 871, 760]"
img080652.png,smart_1,"[150, 0, 724, 1024]"
img086670.png,smart_1,"[451, 513, 865, 601]"
img089438.png,smart_1,"[644, 655, 1024, 805]"
img089674.png,smart_1,"[626, 378, 773, 463]"
img084173.png,smart_1,"[80, 304, 682, 649]"
img088513.png,smart_1,"[307, 325, 426, 581]"
img081727.png,smart_1,"[272, 190, 950, 964]"
img088960.png,smart_1,"[379, 354, 472, 615]"
img089286.png,smart_1,"[576, 276, 874, 441]"
img085016.png,smart_1,"[411, 171, 681, 712]"
img089526.png,smart_1,"[539, 307, 601, 575]"
img083851.png,smart_1,"[225, 419, 705, 533]"
img089439.png,smart_1,"[481, 475, 684, 701]"
img081726.png,smart_1,"[607, 0, 837, 876]"
img089910.png,smart_1,"[298, 542, 514, 604]"
img089753.png,smart_1,"[191, 80, 436, 580]"
img089402.png,smart_1,"[427, 255, 729, 444]"
img086680.png,smart_1,"[687, 216, 787, 418]"
img082277.png,smart_1,"[325, 288, 1024, 842]"
img080100.png,smart_1,"[352, 0, 880, 1024]"
img089326.png,smart_1,"[534, 509, 1024, 597]"
img084238.png,smart_1,"[632, 338, 721, 991]"
img089186.png,smart_1,"[721, 103, 856, 558]"
img084738.png,smart_1,"[390, 394, 807, 887]"
img087874.png,smart_1,"[400, 574, 554, 653]"
img089824.png,smart_1,"[236, 369, 302, 983]"
img083607.png,smart_1,"[407, 207, 820, 692]"
img082943.png,smart_1,"[9, 198, 989, 606]"
img088671.png,smart_1,"[382, 470, 682, 671]"
img083496.png,smart_1,"[348, 484, 627, 618]"
img080242.png,smart_1,"[0, 132, 1024, 474]"
img085482.png,smart_1,"[365, 532, 628, 596]"
img085824.png,smart_1,"[492, 401, 830, 571]"
img088521.png,smart_1,"[329, 636, 440, 793]"
img088643.png,smart_1,"[549, 367, 864, 503]"
img086992.png,smart_1,"[536, 368, 847, 610]"
img088735.png,smart_1,"[564, 123, 793, 445]"
img085905.png,smart_1,"[408, 405, 770, 760]"
img086486.png,smart_1,"[283, 108, 663, 476]"
img086737.png,smart_1,"[404, 394, 593, 776]"
img087596.png,smart_1,"[361, 500, 711, 721]"
img088365.png,smart_1,"[533, 182, 869, 410]"
img084467.png,smart_1,"[357, 21, 530, 951]"
img087173.png,smart_1,"[230, 498, 511, 536]"
img087901.png,smart_1,"[432, 537, 580, 815]"
img085220.png,smart_1,"[309, 339, 618, 417]"
img082376.png,smart_1,"[549, 246, 703, 447]"
img080788.png,smart_1,"[0, 0, 897, 1024]"
img084531.png,smart_1,"[98, 582, 820, 710]"
img086117.png,smart_1,"[412, 445, 484, 783]"
img088662.png,smart_1,"[525, 367, 612, 753]"
img082116.png,smart_1,"[217, 256, 717, 1024]"
img087500.png,smart_1,"[390, 479, 744, 607]"
img084104.png,smart_1,"[296, 405, 1024, 836]"
img085370.png,smart_1,"[421, 376, 531, 493]"
img080273.png,smart_1,"[0, 271, 917, 693]"
img086988.png,smart_1,"[253, 517, 610, 590]"
img087785.png,smart_1,"[322, 443, 403, 505]"
img081844.png,smart_1,"[387, 0, 1024, 769]"
img083679.png,smart_1,"[294, 320, 628, 956]"
img080013.png,smart_1,"[53, 45, 1024, 1024]"
img081753.png,smart_1,"[0, 488, 1024, 932]"
img084221.png,smart_1,"[0, 479, 766, 564]"
img089957.png,smart_1,"[239, 289, 516, 653]"
img082051.png,smart_1,"[0, 144, 747, 1024]"
img080395.png,smart_1,"[314, 0, 742, 1024]"
img089809.png,smart_1,"[217, 369, 360, 752]"
img082772.png,smart_1,"[0, 510, 1024, 948]"
img080139.png,smart_1,"[0, 375, 1024, 664]"
img086939.png,smart_1,"[174, 671, 490, 745]"
img081638.png,smart_1,"[371, 0, 1024, 1024]"
img085742.png,smart_1,"[522, 224, 671, 613]"
img082891.png,smart_1,"[143, 336, 748, 666]"
img085834.png,smart_1,"[514, 489, 726, 853]"
img086294.png,smart_1,"[686, 448, 767, 953]"
img082120.png,smart_1,"[443, 0, 851, 1024]"
img080816.png,smart_1,"[479, 0, 915, 1024]"
img089177.png,smart_1,"[417, 490, 914, 653]"
img084211.png,smart_1,"[302, 478, 690, 708]"
img086206.png,smart_1,"[167, 144, 541, 551]"
img089273.png,smart_1,"[0, 500, 538, 651]"
img084462.png,smart_1,"[393, 310, 664, 996]"
img086975.png,smart_1,"[586, 276, 884, 403]"
img089726.png,smart_1,"[300, 437, 745, 636]"
img085135.png,smart_1,"[401, 363, 798, 435]"
img088111.png,smart_1,"[469, 525, 592, 589]"
img080038.png,smart_1,"[0, 55, 1024, 1024]"
img083879.png,smart_1,"[201, 208, 545, 669]"
img087407.png,smart_1,"[479, 245, 663, 549]"
img088410.png,smart_1,"[522, 384, 787, 549]"
img086773.png,smart_1,"[263, 410, 425, 606]"
img082090.png,smart_1,"[150, 260, 803, 756]"
img080256.png,smart_1,"[135, 0, 823, 1024]"
img081120.png,smart_1,"[171, 155, 993, 834]"
img084744.png,smart_1,"[18, 422, 938, 742]"
img086484.png,smart_1,"[395, 147, 706, 449]"
img087174.png,smart_1,"[261, 256, 472, 689]"
img085421.png,smart_1,"[295, 446, 370, 820]"
img085928.png,smart_1,"[431, 536, 576, 863]"
img087566.png,smart_1,"[443, 275, 527, 601]"
img087056.png,smart_1,"[350, 323, 525, 576]"
img086397.png,smart_1,"[134, 253, 463, 626]"
img081995.png,smart_1,"[0, 213, 1024, 605]"
